Hora,Entidad,Municipioenqueselevioporultimavez,Estatura,Sexo,Edad
5:30:AM,ESTADODEMEXICO,SULTEPEC,0.6,HOMBRE,null
1:00:AM,AGUASCALIENTES,CALVILLO,0.6,MUJER,null
5:00:AM,ESTADODEMEXICO,IXTAPALUCA,0.6,MUJER,null
3:00:AM,ESTADODEMEXICO,TOLUCA,0.61,HOMBRE,1
7:00:AM,SINALOA,AHOME,0.61,HOMBRE,2
2:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.62,MUJER,1
12:00:PM,ESTADODEMEXICO,CHIMALHUACAN,0.62,HOMBRE,1
9:30:AM,ESTADODEMEXICO,METEPEC,0.62,MUJER,null
3:00:AM,ESTADODEMEXICO,TOLUCA,0.62,MUJER,null
10:00:AM,ESTADODEMEXICO,TEMAMATLA,0.63,MUJER,1
5:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.64,MUJER,2
9:00:AM,ESTADODEMEXICO,TULTITLAN,0.65,HOMBRE,1
1:10:AM,PUEBLA,PUEBLA,0.65,HOMBRE,1
2:00:AM,ESTADODEMEXICO,TECAMAC,0.65,HOMBRE,1
8:00:AM,OAXACA,SANTACRUZXOXOCOTLAN,0.65,MUJER,2
12:00:PM,PUEBLA,CUETZALANDELPROGRESO,0.65,HOMBRE,3
8:00:02AM,ESTADODEMEXICO,XONACATLAN,0.65,HOMBRE,4
10:00:AM,PUEBLA,PUEBLA,0.65,HOMBRE,11
4:00:AM,SINALOA,CULIACAN,0.65,MUJER,19
12:00:PM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.65,HOMBRE,null
3:00:AM,ESTADODEMEXICO,IXTAPALUCA,0.65,MUJER,null
5:00:AM,ESTADODEMEXICO,TOLUCA,0.65,MUJER,null
2:00:AM,ZACATECAS,ZACATECAS,0.66,HOMBRE,2
7:00:AM,ESTADODEMEXICO,CHALCO,0.68,MUJER,1
11:00:AM,SINALOA,CULIACAN,0.7,MUJER,1
11:00:AM,SINALOA,SINALOA,0.7,HOMBRE,1
5:00:AM,PUEBLA,CHIGNAHUAPAN,0.7,MUJER,1
10:00:AM,MORELOS,XOCHITEPEC,0.7,HOMBRE,1
1:00:AM,ESTADODEMEXICO,ATIZAPANDEZARAGOZA,0.7,HOMBRE,1
8:35:AM,CHIAPAS,TAPACHULA,0.7,HOMBRE,1
1:30:AM,ESTADODEMEXICO,TIANGUISTENCO,0.7,HOMBRE,1
6:00:AM,PUEBLA,TEHUACAN,0.7,HOMBRE,1
3:00:AM,PUEBLA,PUEBLA,0.7,HOMBRE,1
5:30:55AM,ESTADODEMEXICO,TOLUCA,0.7,HOMBRE,2
2:00:AM,SINALOA,CULIACAN,0.7,MUJER,2
8:00:AM,PUEBLA,FRANCISCOZ.MENA,0.7,HOMBRE,2
9:30:AM,MORELOS,CUERNAVACA,0.7,HOMBRE,2
8:00:AM,ESTADODEMEXICO,TEXCOCO,0.7,HOMBRE,2
5:00:AM,GUERRERO,ACAPULCODEJUAREZ,0.7,HOMBRE,2
3:30:AM,PUEBLA,TEZIUTLAN,0.7,MUJER,2
11:00:AM,ESTADODEMEXICO,NICOLASROMERO,0.7,HOMBRE,2
9:00:AM,PUEBLA,PUEBLA,0.7,MUJER,2
